tottrees,Latitude,Longitude,MAP,MAT
60,-27.03273,18.9077,164,18.7
171,-27.03335,18.25619,131,19.7
3,-27.03626,19.25554,144,19.7
10,-27.03997,18.63336,133,19.7
57,-27.04015,18.81619,159,18.8
53,-27.04129,18.72201,145,19.2
128,-27.04131,18.76938,162,18.4
11,-27.04204,17.41604,100,19.3
476,-27.05048,18.95352,168,18.6
21,-27.05156,17.2591,92,19
8,-27.05471,18.63543,137,19.5
12,-27.0583,19.25161,152,19.4
2085,-27.06289,18.99792,156,19
1082,-27.0679,16.75011,112,15.3
89,-27.0742,18.27143,136,19.2
65,-27.08239,17.43395,96,19.5
12,-27.09296,17.24302,91,18.8
21,-27.09557,19.25759,148,19.5
362,-27.09677,19.02591,161,18.8
25,-27.09983,16.78433,124,14.8
16,-27.104,18.30584,133,19.2
2,-27.10853,17.87865,109,20.8
21,-27.11405,19.27083,148,19.5
9,-27.11612,19.52506,140,20
79,-27.12095,19.24924,151,19.3
275,-27.12249,19.06494,164,18.7
14,-27.12724,16.82108,116,15.2
51,-27.13626,19.20103,154,19.2
176,-27.13968,19.15577,154,19.1
538,-27.14014,19.10564,157,19
579,-27.14042,19.02394,167,18.6
66,-27.1431,19.11331,157,19
20,-27.14678,18.31379,132,19.1
1,-27.15137,17.88923,110,20.6
39,-27.15669,19.28279,153,19.2
675,-27.16136,18.9765,192,17.6
119,-27.16523,17.45931,96,19.5
112,-27.16987,16.82887,112,15.4
117,-27.18281,16.44506,84,15.5
45,-27.18463,18.6139,141,18.9
293,-27.18554,19.10794,161,18.8
8,-27.18954,18.31683,130,19.1
134,-27.19633,19.28601,140,19.7
11,-27.19886,18.9817,185,17.8
353,-27.20906,16.81606,111,15.3
27,-27.20933,17.46884,95,19.5
11,-27.22478,18.59815,146,18.3
547,-27.22875,19.10968,166,18.5
86,-27.23607,19.28335,138,19.7
2,-27.23849,18.96607,182,17.9
5063,-27.2407,16.79158,107,15.3
98,-27.25048,17.48523,95,19.4
10,-27.25233,16.50863,81,15.8
52,-27.25999,19.30833,151,19.3
1,-27.26402,18.57681,144,18.2
1751,-27.26418,16.78413,98,15.7
108,-27.26799,19.11399,152,19
3,-27.2781,17.92477,109,20.4
4,-27.28257,17.51608,99,19.2
24,-27.28381,17.30329,89,18.6
1136,-27.29292,19.12943,171,18.3
2,-27.29436,16.52892,75,16
1,-27.29897,19.32057,138,19.7
570,-27.30342,16.77463,94,15.9
1,-27.30593,18.56688,151,17.6
1,-27.3074,18.97536,171,18.2
3,-27.31275,17.30909,82,19
207,-27.31732,18.28665,123,19.2
28,-27.31768,19.14008,189,17.7
85,-27.32504,17.52544,96,19.4
28,-27.32573,16.73315,92,15.8
5,-27.3363,19.3341,151,19.3
42,-27.34362,16.69201,81,16.2
32,-27.34586,18.25033,123,19.2
1,-27.34598,17.29049,81,18.8
12,-27.34885,19.12664,187,17.7
4,-27.35615,16.60228,73,16.2
16,-27.363,17.50701,94,19.3
2,-27.3644,17.94527,108,20
5,-27.38615,17.29031,84,18.6
2,-27.38684,17.33719,81,18.9
10,-27.39084,19.12064,172,18.2
13,-27.39348,17.20394,85,18.1
69,-27.40201,17.48618,91,19.2
10,-27.40573,18.9166,158,18.4
20,-27.41306,17.42584,84,19.2
1,-27.41399,18.57224,160,17.2
68,-27.42076,18.19812,120,19.1
36,-27.42212,19.43012,131,20
3,-27.42489,19.09545,169,18.3
281,-27.43507,17.45863,88,19.1
1,-27.43785,18.60848,168,17
16,-27.44154,19.34414,132,19.8
264,-27.44255,18.89566,157,18.4
37,-27.44745,19.05898,169,18.1
29,-27.44763,17.15218,87,17.6
1,-27.4551,18.63912,160,17.4
21,-27.46048,18.17674,121,19
6,-27.46516,19.43465,130,20
205,-27.46765,19.31001,133,19.7
10,-27.47228,17.89299,105,19.6
117,-27.47581,17.95311,111,19.3
508,-27.48253,16.74964,87,16
286,-27.48431,18.89617,149,18.6
243,-27.48713,19.03877,171,18
229,-27.4899,19.26649,138,19.5
14,-27.48996,17.15813,88,17.4
53,-27.49041,18.62421,156,17.5
73,-27.50019,18.15534,123,18.8
286,-27.50028,17.85206,104,19.5
108,-27.51129,19.22799,151,19
8,-27.51141,19.17916,151,18.9
229,-27.51284,17.96595,114,19
1,-27.5136,18.89298,146,18.6
14,-27.51457,19.12714,159,18.6
8,-27.51957,18.87578,146,18.5
114,-27.52418,17.81783,102,19.5
250,-27.52857,19.05143,160,18.4
57,-27.5303,18.60995,150,17.8
300,-27.53254,17.16348,90,17.3
37,-27.53384,18.00844,119,18.8
332,-27.53663,18.12812,126,18.5
7,-27.5381,18.8321,156,18.1
68,-27.54482,19.10265,153,18.7
7,-27.54718,18.92273,149,18.4
33,-27.54718,19.40568,135,19.8
348,-27.55306,18.05163,122,18.5
70,-27.55626,17.78521,96,19.5
80,-27.56157,18.07067,124,18.4
8,-27.56484,18.96339,145,18.7
59,-27.56891,19.06853,153,18.6
281,-27.57065,18.62228,148,17.9
104,-27.57087,17.14742,94,17
31,-27.57168,18.09789,126,18.3
33,-27.57298,18.05227,124,18.3
75,-27.57384,18.80977,148,18.3
126,-27.57891,19.07157,153,18.6
25,-27.57899,17.74737,94,19.5
10,-27.58463,18.11139,126,18.2
1,-27.58691,16.7053,91,15.4
245,-27.59143,18.66272,144,18.1
4,-27.6056,18.02275,128,17.9
55,-27.60738,17.13883,96,16.8
8,-27.61038,16.74442,99,15.2
28,-27.61541,19.62144,140,19.9
5,-27.61563,17.74452,93,19.4
152,-27.61653,18.80505,143,18.4
46,-27.62247,17.11191,97,16.5
6,-27.62269,19.3786,135,19.8
3,-27.62912,19.1241,139,19.2
4397,-27.63005,18.6696,140,18.2
11,-27.63519,16.77794,105,14.9
12,-27.63519,16.81776,105,15
23,-27.63707,16.86167,111,14.9
57,-27.63801,17.99149,127,17.8
5,-27.6419,16.69999,99,15
190,-27.65496,16.89878,114,15
38,-27.65748,17.74067,84,19.8
308,-27.65915,17.08851,102,16.2
231,-27.65961,18.80213,141,18.4
11,-27.66313,19.32844,136,19.6
390,-27.66451,18.69196,137,18.4
24,-27.66785,17.95604,127,17.7
1,-27.67049,18.21755,135,17.7
3,-27.67252,18.97923,142,18.7
603,-27.68022,17.05693,103,15.9
14,-27.68339,16.7041,103,14.8
705,-27.68995,16.92718,115,15
287,-27.69234,17.01339,109,15.5
50,-27.69407,18.77409,139,18.5
431,-27.69467,16.96764,112,15.2
612,-27.69689,19.35218,136,19.7
11,-27.70096,18.93841,153,18.1
46,-27.70164,18.71211,135,18.5
4,-27.70229,17.7642,90,19.4
32,-27.70881,17.9412,129,17.5
15,-27.72187,18.90285,143,18.5
1,-27.72339,16.71531,95,15.1
20,-27.73246,18.76074,135,18.5
698,-27.73759,18.68946,134,18.5
121,-27.73773,17.73545,85,19.6
7,-27.73849,19.3496,133,19.7
29,-27.74936,17.93549,128,17.5
3,-27.75435,18.87248,135,18.8
35,-27.75891,18.79503,131,18.7
3,-27.76542,16.71305,81,15.9
433,-27.76681,17.69909,82,19.6
3,-27.77172,19.3676,133,19.8
55,-27.77262,17.89503,122,17.7
74,-27.77676,18.69255,132,18.5
2,-27.77835,18.83664,131,18.8
1,-27.77908,18.83639,131,18.8
16,-27.78527,19.41087,133,19.8
2,-27.79147,17.66703,76,19.7
80,-27.80556,17.86467,114,18
11,-27.80994,19.45284,133,19.9
53,-27.81664,18.70793,128,18.7
7,-27.81949,18.81433,129,18.8
52,-27.83095,17.67309,84,19.3
1,-27.83504,18.59364,124,18.8
48,-27.8489,17.87267,110,18.2
8,-27.84898,16.69143,67,16.4
3,-27.85102,18.79285,130,18.7
201,-27.86658,17.67613,90,18.8
92,-27.888,17.89101,101,18.7
129,-27.88935,16.69023,63,16.7
79,-27.88957,18.66952,126,18.8
10,-27.89376,19.34169,129,19.8
11,-27.89854,19.55707,136,19.9
96,-27.90307,17.98094,99,19
41,-27.90447,17.93319,101,18.8
338,-27.90838,17.67878,89,18.7
75,-27.90996,17.87822,99,18.9
127,-27.9132,18.02987,97,19.3
3,-27.9132,19.6438,138,19.9
98,-27.91432,17.82958,97,18.8
46,-27.91878,17.78078,90,19
6,-27.91963,19.59985,139,19.7
106,-27.92278,16.72108,60,17
107,-27.92303,17.73161,88,18.9
2,-27.92529,17.49014,49,20.5
29,-27.9258,18.07935,97,19.5
11,-27.92708,17.68343,87,18.9
1,-27.93664,19.3361,128,19.8
62,-27.93721,17.64999,83,19
285,-27.94194,18.17673,102,19.3
87,-27.95654,17.60721,79,19
145,-27.95939,16.74937,55,17.4
145,-27.96248,19.69904,141,19.9
1,-27.96401,18.72199,123,18.8
86,-27.96478,17.56788,71,19.4
5,-27.97668,19.32269,127,19.8
267,-27.97737,18.15742,100,19.3
7,-27.98698,18.15221,100,19.3
12,-27.99358,19.09579,115,19.9
1665,-28.00027,19.04778,116,19.7
1,-28.00279,19.71195,137,20
3,-28.00316,17.57195,74,19.1
1,-28.00463,18.80684,124,18.8
24,-28.00745,19.14328,116,19.9
6,-28.00995,18.85225,123,19
148,-28.01229,18.12852,100,19.2
68,-28.0146,18.90893,122,19.2
1,-28.01586,16.81856,48,18
63,-28.01618,18.95079,120,19.4
1,-28.01715,19.3049,128,19.8
1,-28.01843,18.75765,126,18.5
7,-28.02788,19.18678,117,20
1,-28.03678,18.08755,98,19.3
4,-28.04114,19.23324,118,20.1
366,-28.04165,17.05886,41,19.5
792,-28.04214,17.10035,41,19.5
11,-28.0488,16.84992,46,18.2
2,-28.05379,19.26147,121,20
1135,-28.05612,17.01711,39,19.3
11,-28.05837,19.27954,122,20.1
222,-28.0593,16.98583,39,19.2
67,-28.06516,19.77632,150,19.8
180,-28.07047,16.90033,38,19
3,-28.07354,19.32631,125,19.9
485,-28.07461,16.94536,39,19
452,-28.07565,17.13003,41,19.6
34,-28.07804,18.0714,105,18.8
32,-28.08574,19.54896,128,20.1
97,-28.08599,19.42225,134,19.8
1,-28.08867,19.4504,137,19.7
314,-28.08897,19.49751,141,19.7
58,-28.08933,16.86805,41,18.6
22,-28.08953,19.59768,127,20.2
51,-28.09294,17.16764,41,19.7
221,-28.09332,19.81177,141,20
